anchor_id	case_id	x	y	z	block_spec	block_entity_id	expected_route	stable_optics
roster-sophisticatedbackpacks-backpack	registry-roster	196	100	196	sophisticatedbackpacks:backpack[battery=false,facing=north,left_tank=false,open=false,right_tank=false,waterlogged=false]	sophisticatedbackpacks:backpack	custom	registered-block-id,default-static-state
roster-sophisticatedbackpacks-copper-backpack	registry-roster	199	100	196	sophisticatedbackpacks:copper_backpack[battery=false,facing=north,left_tank=false,open=false,right_tank=false,waterlogged=false]	sophisticatedbackpacks:backpack	custom	registered-block-id,default-static-state
roster-sophisticatedbackpacks-diamond-backpack	registry-roster	202	100	196	sophisticatedbackpacks:diamond_backpack[battery=false,facing=north,left_tank=false,open=false,right_tank=false,waterlogged=false]	sophisticatedbackpacks:backpack	custom	registered-block-id,default-static-state
roster-sophisticatedbackpacks-gold-backpack	registry-roster	205	100	196	sophisticatedbackpacks:gold_backpack[battery=false,facing=north,left_tank=false,open=false,right_tank=false,waterlogged=false]	sophisticatedbackpacks:backpack	custom	registered-block-id,default-static-state
roster-sophisticatedbackpacks-iron-backpack	registry-roster	208	100	196	sophisticatedbackpacks:iron_backpack[battery=false,facing=north,left_tank=false,open=false,right_tank=false,waterlogged=false]	sophisticatedbackpacks:backpack	custom	registered-block-id,default-static-state
roster-sophisticatedbackpacks-netherite-backpack	registry-roster	211	100	196	sophisticatedbackpacks:netherite_backpack[battery=false,facing=north,left_tank=false,open=false,right_tank=false,waterlogged=false]	sophisticatedbackpacks:backpack	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-acacia-storage-connector	registry-roster	214	100	196	sophisticatedstorage:acacia_storage_connector[opaque=true]	sophisticatedstorage:storage_connector	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-bamboo-storage-connector	registry-roster	217	100	196	sophisticatedstorage:bamboo_storage_connector[opaque=true]	sophisticatedstorage:storage_connector	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-barrel	registry-roster	220	100	196	sophisticatedstorage:barrel[facing=north,flat_top=false,opaque=true,open=false,ticking=false]	sophisticatedstorage:barrel	custom	registered-block-id,default-static-state
roster-sophisticatedstorage-birch-storage-connector	registry-roster	223	100	196	sophisticatedstorage:birch_storage_connector[opaque=true]	sophisticatedstorage:storage_connector	custom	registered-block-id,default-static-state
